EmployeeID,Name,Department,Age,Salary,JoiningDate,PerformanceScore,Gender,Marital Status,Experience(Years),Education,Location
1001,Employee_1,IT,55,,01-02-2020,2.6,Male,,6,PhD,Delhi
1002,Employee_2,IT,51,106209,22-08-2017,4.5,Female,,10,PhD,Chennai
1003,Employee_3,Marketing,52,39084,29-10-2016,2.7,Male,Single,11,High School,Chennai
1004,Employee_4,HR,57,62214,28-09-2015,4.6,Female,Single,1,Master,Bangalore
1005,Employee_5,IT,36,114659,11-03-2020,3.4,Male,Single,10,Bachelor,Mumbai
1006,Employee_6,Marketing,50,37690,24-07-2019,4.2,Male,Married,10,Master,Chennai
1007,Employee_7,HR,33,39693,31-05-2019,3.9,Male,Married,6,PhD,Mumbai
1008,Employee_8,IT,53,97479,10-10-2015,3.6,Female,Married,13,PhD,Mumbai
1009,Employee_9,IT,50,94668,31-10-2019,3.1,Female,Single,14,High School,Delhi
1010,Employee_10,Finance,41,32118,06-10-2021,4,Male,Single,10,PhD,Chennai
1011,Employee_11,Finance,23,88058,24-01-2016,2.9,Female,Single,13,Bachelor,Hyderabad
1012,Employee_12,Finance,53,45453,03-01-2021,2.8,Male,Married,11,Bachelor,Hyderabad
1013,Employee_13,Marketing,28,49247,24-05-2023,3,Female,Single,5,Master,Bangalore
1014,Employee_14,HR,51,69548,25-06-2017,3.4,Female,Married,6,Bachelor,Chennai
1015,Employee_15,HR,46,108523,15-10-2020,2.9,Male,Single,10,Bachelor,Hyderabad
1016,Employee_16,Sales,38,43663,29-06-2018,2.7,Female,Single,6,Bachelor,Bangalore
1017,Employee_17,Sales,56,70393,23-11-2021,2.6,Male,Single,1,High School,Chennai
1018,Employee_18,IT,55,105859,05-06-2016,3.6,Female,Married,5,PhD,Chennai
1019,Employee_19,Finance,25,49472,12-08-2020,3.1,Female,Single,6,PhD,Mumbai
1020,Employee_20,Sales,40,112780,29-07-2017,3.8,Male,Married,10,Bachelor,Bangalore
1021,Employee_21,IT,41,45853,21-01-2017,2,Female,Married,2,Master,Hyderabad
1022,Employee_22,HR,44,91639,08-02-2018,2.7,,Married,10,Bachelor,Hyderabad
1023,Employee_23,Finance,48,89259,18-10-2015,3.3,Female,,1,High School,Chennai
1024,Employee_24,Sales,51,34160,10-10-2020,3.3,Female,Single,7,Bachelor,Bangalore
1025,Employee_25,IT,53,96054,12-07-2019,4.9,Female,Single,10,Master,Chennai
1026,Employee_26,Sales,41,34067,17-01-2022,4.5,Male,Single,14,High School,Hyderabad
1027,Employee_27,IT,23,59673,28-04-2017,2.5,Male,Married,1,PhD,Delhi
1028,Employee_28,Sales,35,78788,11-05-2021,4.8,Male,Single,12,PhD,Mumbai
1029,Employee_29,HR,43,96952,26-11-2022,4.5,Female,Single,3,High School,Bangalore
1030,Employee_30,IT,35,54733,09-04-2017,2.3,Female,Single,4,High School,Delhi
1031,Employee_31,Finance,38,107245,07-08-2022,3,Male,Married,3,Bachelor,Delhi
1032,Employee_32,Marketing,56,65707,04-03-2022,3.8,Male,Married,0,Master,Mumbai
1033,Employee_33,Marketing,52,55488,16-06-2022,2.6,Male,Married,6,Master,Delhi
1034,Employee_34,Sales,58,32393,27-11-2016,4.7,Male,Married,14,High School,Hyderabad
1035,Employee_35,Finance,26,74664,22-10-2023,3.4,Female,Single,2,Master,Hyderabad
1036,Employee_36,Sales,50,65466,27-05-2020,2.3,Male,Single,1,High School,Delhi
1037,Employee_37,Marketing,24,,15-04-2021,2.6,Male,Single,5,Bachelor,Chennai
1038,Employee_38,IT,,104994,09-01-2015,2.5,Male,Single,5,Master,Hyderabad
1039,Employee_39,Sales,39,100318,24-04-2020,2.3,Male,Single,13,High School,Mumbai
1040,Employee_40,HR,48,46287,30-03-2015,2.3,Male,Single,8,Master,Mumbai
1041,Employee_41,IT,50,73586,21-03-2021,3.7,Male,Single,4,PhD,Mumbai
1042,Employee_42,HR,49,67528,21-04-2015,2.7,Female,Single,11,Master,Delhi
1043,Employee_43,Marketing,44,85164,05-05-2022,4.7,Female,Married,8,Master,Bangalore
1044,Employee_44,Marketing,41,77823,19-07-2015,4.6,Male,Single,2,High School,Bangalore
1045,Employee_45,IT,22,49534,31-07-2016,3.6,Female,Single,8,Bachelor,Chennai
1046,Employee_46,Finance,49,104296,17-09-2016,4.5,Male,Married,13,High School,Hyderabad
1047,Employee_47,IT,29,41732,25-08-2023,2.2,Male,Married,11,Master,Chennai
1048,Employee_48,Finance,57,97093,16-04-2021,4,Male,Married,11,Master,Mumbai
1049,Employee_49,Marketing,23,96302,11-11-2023,3,Male,Single,14,Master,Chennai
1050,Employee_50,IT,32,113321,30-01-2016,4.1,Male,Married,1,Master,Mumbai
1051,Employee_51,Marketing,38,111848,14-10-2018,3.8,Female,Married,13,Master,Hyderabad
1052,Employee_52,Sales,44,70183,23-06-2016,4.3,Male,Single,7,High School,Delhi
1053,Employee_53,Finance,27,39498,15-01-2017,3.5,Female,Single,2,High School,Delhi
1054,Employee_54,IT,36,86683,02-11-2018,2,Male,Single,8,Bachelor,Hyderabad
1055,Employee_55,Sales,35,82008,02-03-2020,3.6,Male,Married,10,PhD,Mumbai
1056,Employee_56,Sales,52,87735,23-07-2017,2.9,Male,Married,11,High School,Bangalore
1057,Employee_57,Marketing,24,114758,22-11-2019,3.3,Female,Married,5,High School,Mumbai
1058,Employee_58,Sales,22,35924,12-01-2021,2.5,Male,Married,3,PhD,Bangalore
1059,Employee_59,Finance,44,77537,08-06-2016,5,Female,Married,11,Bachelor,Bangalore
1060,Employee_60,Sales,27,64020,22-02-2019,2.8,Male,Married,13,High School,Mumbai
1061,Employee_61,Marketing,34,112594,03-08-2023,3.6,Male,Married,9,Bachelor,Chennai
1062,Employee_62,Sales,51,37317,16-12-2016,2.1,Female,Married,0,PhD,Mumbai
1063,Employee_63,Marketing,49,65317,08-04-2022,2.4,Female,Married,14,PhD,Mumbai
1064,Employee_64,Finance,49,64464,11-02-2015,2.5,Female,Married,1,Bachelor,Mumbai
1065,Employee_65,Finance,42,47649,21-05-2017,2.4,Male,Single,6,PhD,Delhi
1066,Employee_66,Marketing,28,55184,18-01-2015,4,Male,Married,3,Master,Mumbai
1067,Employee_67,Finance,48,40459,08-11-2023,3.7,Male,Married,6,High School,Mumbai
1068,Employee_68,Sales,51,32554,22-01-2022,3.7,Female,Single,9,PhD,Bangalore
1069,Employee_69,Marketing,51,80693,16-11-2015,4.2,Female,Married,2,High School,Chennai
1070,Employee_70,Sales,26,75864,08-09-2016,2.8,Male,Single,5,PhD,Mumbai
1071,Employee_71,Sales,52,105396,03-11-2023,4.4,Female,Single,1,Bachelor,Chennai
1072,Employee_72,Finance,44,112753,11-01-2017,5,Male,Single,5,Master,Hyderabad
1073,Employee_73,IT,47,97571,02-08-2020,3.4,Male,Married,6,PhD,Hyderabad
1074,Employee_74,HR,39,90532,09-06-2018,4,Male,Single,5,Master,Bangalore
1075,Employee_75,IT,39,31589,25-12-2015,2.4,Male,Married,3,Master,Mumbai
1076,Employee_76,Finance,57,34619,11-04-2018,4.2,Male,Married,6,Master,Hyderabad
1077,Employee_77,Sales,25,42606,08-07-2018,2.5,Female,Single,9,PhD,Bangalore
1078,Employee_78,Marketing,48,45662,08-05-2021,4.7,Female,Single,13,High School,Bangalore
1079,Employee_79,IT,31,71527,20-02-2016,3.1,Male,Single,2,PhD,Bangalore
1080,Employee_80,Sales,54,72699,31-12-2021,3.9,Male,Married,5,High School,Delhi
1081,Employee_81,Marketing,39,112987,25-01-2022,3.1,Male,Single,2,PhD,Hyderabad
1082,Employee_82,Finance,45,38409,21-09-2015,4.1,Female,Married,10,PhD,Mumbai
1083,Employee_83,HR,24,96459,27-07-2019,4.1,Female,Married,10,PhD,Hyderabad
1084,Employee_84,Marketing,37,53954,30-05-2020,4.5,Male,Single,8,Master,Chennai
1085,Employee_85,Finance,29,112388,06-11-2018,2.6,Male,Married,11,Master,Chennai
1086,Employee_86,Sales,41,76821,30-09-2017,2.2,Male,Single,1,Master,Mumbai
1087,Employee_87,IT,30,61772,19-08-2020,2.9,Male,Single,14,Bachelor,Hyderabad
1088,Employee_88,HR,46,47955,15-04-2017,3.2,Female,Married,4,High School,Mumbai
1089,Employee_89,HR,59,55270,02-05-2023,3.5,Female,Single,12,Bachelor,Bangalore
1090,Employee_90,Marketing,24,63125,30-06-2022,4.5,Female,Married,4,Bachelor,Hyderabad
1091,Employee_91,Marketing,55,39861,11-04-2017,3.1,Female,Single,7,Master,Mumbai
1092,Employee_92,HR,52,103130,18-01-2020,2.9,Female,Married,14,Master,Chennai
1093,Employee_93,HR,33,54394,14-03-2018,3.3,Male,Married,1,Master,Chennai
1094,Employee_94,IT,28,88019,13-02-2018,2.9,Female,Married,1,High School,Delhi
1095,Employee_95,Sales,44,48259,05-09-2023,4.9,Female,Married,13,PhD,Delhi
1096,Employee_96,Sales,34,69572,06-01-2015,2.4,Male,Single,6,Master,Chennai
1097,Employee_97,Marketing,29,66568,21-03-2019,3.5,Male,Married,7,High School,Hyderabad
1098,Employee_98,HR,30,112522,15-01-2015,3.1,Female,Married,14,PhD,Hyderabad
1099,Employee_99,Finance,22,67827,01-05-2017,4.4,Female,Married,7,Bachelor,Chennai
1100,Employee_100,Sales,48,104805,23-10-2018,5,Male,Married,5,Bachelor,Bangalore
